ID,length,recency,frequency,monetary,L_score,R_score,F_score,M_score,lrfm_score,lrfm_segmentasi
1041,620,3,14,424,4,4,3,3,4433,Champions
10413,66,67,22,1089,1,2,4,4,1244,High-Potential Newcomers
10420,56,56,9,222,1,2,2,2,1222,Explorers
10424,203,60,17,1295,2,2,3,4,2234,High-Potential Newcomers
10430,264,22,11,1472,2,4,2,4,2424,High-Potential Newcomers
10432,151,26,4,22,1,3,1,1,1311,Explorers
1044,412,44,17,596,3,3,3,3,3333,Champions
10446,600,58,16,729,4,2,3,3,4233,At-Risk High Spenders
10448,616,55,13,377,4,2,3,2,4232,Fading Loyalist
1045,683,55,11,279,4,2,2,2,4222,Dormant Accounts
10451,475,6,3,25,3,4,1,1,3411,Rebounding Customers
10466,312,86,5,60,2,1,1,1,2111,Explorers
10469,145,42,17,1623,1,3,3,4,1334,High-Potential Newcomers
10470,472,0,6,92,3,4,1,2,3412,Rebounding Customers
10473,658,38,19,528,4,3,4,3,4343,Champions
10475,455,39,12,317,3,3,2,2,3322,Rebounding Customers
10476,48,0,10,251,1,4,2,2,1422,Explorers
10477,328,16,6,102,2,4,1,2,2412,Explorers
10478,641,53,18,633,4,2,3,3,4233,At-Risk High Spenders
10479,570,64,10,1511,4,2,2,4,4224,Fading Loyalist
1048,351,11,8,178,2,4,2,2,2422,Explorers
10486,397,54,16,990,3,2,3,3,3233,At-Risk High Spenders
10489,315,35,22,1778,2,3,4,4,2344,High-Potential Newcomers
10490,567,11,12,417,4,4,2,3,4423,Rebounding Customers
10492,6,96,3,10,1,1,1,1,1111,Explorers
1050,61,58,7,65,1,2,2,1,1221,Explorers
10500,86,96,7,98,1,1,2,2,1122,Explorers
10505,186,86,14,1001,2,1,3,3,2133,High-Potential Newcomers
10507,340,14,11,797,2,4,2,3,2423,High-Potential Newcomers
10509,28,46,6,71,1,3,1,2,1312,Explorers
10513,526,68,11,1502,3,2,2,4,3224,Fading Loyalist
1052,499,24,24,1001,3,4,4,3,3443,Champions
10521,292,0,8,174,2,4,2,2,2422,Explorers
10524,375,29,18,795,3,3,3,3,3333,Champions
10525,625,40,3,27,4,3,1,1,4311,Rebounding Customers
10530,205,0,15,1156,2,4,3,4,2434,High-Potential Newcomers
10536,36,78,6,46,1,1,1,1,1111,Explorers
10542,694,63,6,77,4,2,1,2,4212,Dormant Accounts
10548,113,30,23,960,1,3,4,3,1343,High-Potential Newcomers
1055,102,40,4,45,1,3,1,1,1311,Explorers
10552,406,18,12,367,3,4,2,2,3422,Rebounding Customers
10556,37,51,13,358,1,2,3,2,1232,Explorers
10560,14,23,4,20,1,4,1,1,1411,Explorers
10562,275,21,23,1033,2,4,4,3,2443,High-Potential Newcomers
10573,224,27,17,421,2,3,3,3,2333,High-Potential Newcomers
10581,607,41,14,506,4,3,3,3,4333,Champions
10582,362,3,19,758,3,4,4,3,3443,Champions
10584,210,77,23,945,2,1,4,3,2143,High-Potential Newcomers
10590,457,91,22,1483,3,1,4,4,3144,At-Risk High Spenders
10591,693,37,9,201,4,3,2,2,4322,Rebounding Customers
10595,357,19,5,69,3,4,1,2,3412,Rebounding Customers
10598,441,89,5,37,3,1,1,1,3111,Dormant Accounts
10602,501,30,7,156,3,3,2,2,3322,Rebounding Customers
10609,261,15,6,88,2,4,1,2,2412,Explorers
10613,124,44,7,62,1,3,2,1,1321,Explorers
10617,39,34,6,30,1,3,1,1,1311,Explorers
10619,574,29,17,1990,4,3,3,4,4334,Champions
10623,227,2,4,32,2,4,1,1,2411,Explorers
10629,654,25,6,109,4,3,1,2,4312,Rebounding Customers
10634,72,56,14,406,1,2,3,3,1233,High-Potential Newcomers
10637,545,77,6,99,4,1,1,2,4112,Dormant Accounts
1064,201,18,4,42,2,4,1,1,2411,Explorers
10640,298,71,9,211,2,2,2,2,2222,Explorers
10641,550,5,6,57,4,4,1,1,4411,Rebounding Customers
10642,547,13,4,37,4,4,1,1,4411,Rebounding Customers
10643,536,23,18,653,4,4,3,3,4433,Champions
10648,643,78,18,1289,4,1,3,4,4134,At-Risk High Spenders
1065,183,85,18,1918,2,1,3,4,2134,High-Potential Newcomers
10652,171,48,14,1169,1,3,3,4,1334,High-Potential Newcomers
10659,419,7,7,53,3,4,2,1,3421,Rebounding Customers
10660,169,61,14,438,1,2,3,3,1233,High-Potential Newcomers
10664,296,14,15,467,2,4,3,3,2433,High-Potential Newcomers
10669,409,8,15,470,3,4,3,3,3433,Champions
10673,225,6,20,1416,2,4,4,4,2444,High-Potential Newcomers
10675,453,82,17,1161,3,1,3,4,3134,At-Risk High Spenders
10676,605,3,18,1173,4,4,3,4,4434,Champions
10678,214,91,23,917,2,1,4,3,2143,High-Potential Newcomers
10680,145,71,6,70,1,2,1,2,1212,Explorers
10681,166,13,21,889,1,4,4,3,1443,High-Potential Newcomers
10686,551,72,3,21,4,2,1,1,4211,Dormant Accounts
10691,381,55,4,43,3,2,1,1,3211,Dormant Accounts
10699,14,30,6,92,1,3,1,2,1312,Explorers
10701,292,60,27,1211,2,2,4,4,2244,High-Potential Newcomers
10702,604,67,15,450,4,2,3,3,4233,At-Risk High Spenders
10703,681,86,7,120,4,1,2,2,4122,Dormant Accounts
10704,678,65,17,693,4,2,3,3,4233,At-Risk High Spenders
10708,184,50,4,33,2,2,1,1,2211,Explorers
1071,344,10,23,1034,2,4,4,3,2443,High-Potential Newcomers
10710,670,61,3,18,4,2,1,1,4211,Dormant Accounts
10711,271,23,21,894,2,4,4,3,2443,High-Potential Newcomers
1072,304,64,6,93,2,2,1,2,2212,Explorers
10722,313,63,15,546,2,2,3,3,2233,High-Potential Newcomers
10727,223,43,23,1586,2,3,4,4,2344,High-Potential Newcomers
10735,334,75,4,26,2,1,1,1,2111,Explorers
10736,291,28,20,1525,2,3,4,4,2344,High-Potential Newcomers
10738,305,55,5,65,2,2,1,1,2211,Explorers
10741,445,70,12,319,3,2,2,2,3222,Dormant Accounts
10742,488,72,11,746,3,2,2,3,3223,Fading Loyalist
10749,650,62,1,178,4,2,1,2,4212,Dormant Accounts
10755,301,76,6,81,2,1,1,2,2112,Explorers
10757,188,36,3,13,2,3,1,1,2311,Explorers
10766,80,22,16,506,1,4,3,3,1433,High-Potential Newcomers
10767,45,40,20,1346,1,3,4,4,1344,High-Potential Newcomers
1077,572,52,14,1020,4,2,3,3,4233,At-Risk High Spenders
10770,155,73,24,1045,1,2,4,3,1243,High-Potential Newcomers
10779,78,16,4,49,1,4,1,1,1411,Explorers
10785,11,17,5,41,1,4,1,1,1411,Explorers
10789,492,13,5,68,3,4,1,1,3411,Rebounding Customers
1079,622,59,16,1086,4,2,3,4,4234,At-Risk High Spenders
10790,496,40,3,21,3,3,1,1,3311,Rebounding Customers
10795,55,14,5,48,1,4,1,1,1411,Explorers
10796,159,16,5,66,1,4,1,1,1411,Explorers
1081,460,26,14,1019,3,3,3,3,3333,Champions
10812,121,89,6,90,1,1,1,2,1112,Explorers
10814,530,6,24,1376,3,4,4,4,3444,Champions
10821,509,45,10,263,3,3,2,2,3322,Rebounding Customers
10826,549,77,4,60,4,1,1,1,4111,Dormant Accounts
10827,692,49,7,146,4,3,2,2,4322,Rebounding Customers
10832,347,4,13,467,2,4,3,3,2433,High-Potential Newcomers
10833,37,55,24,973,1,2,4,3,1243,High-Potential Newcomers
10837,610,47,5,68,4,3,1,1,4311,Rebounding Customers
10839,77,42,4,29,1,3,1,1,1311,Explorers
10841,552,46,15,484,4,3,3,3,4333,Champions
10846,32,22,16,629,1,4,3,3,1433,High-Potential Newcomers
10854,38,90,5,45,1,1,1,1,1111,Explorers
10855,159,9,13,396,1,4,3,2,1432,Explorers
10856,363,42,4,46,3,3,1,1,3311,Rebounding Customers
10858,294,38,21,820,2,3,4,3,2343,High-Potential Newcomers
10862,682,6,12,326,4,4,2,2,4422,Rebounding Customers
10868,509,82,17,1272,3,1,3,4,3134,At-Risk High Spenders
1087,404,30,7,173,3,3,2,2,3322,Rebounding Customers
10870,382,46,16,1341,3,3,3,4,3334,Champions
10872,584,65,17,1182,4,2,3,4,4234,At-Risk High Spenders
10882,598,50,13,915,4,2,3,3,4233,At-Risk High Spenders
10888,239,46,18,636,2,3,3,3,2333,High-Potential Newcomers
10897,687,63,27,1174,4,2,4,4,4244,At-Risk High Spenders
10905,609,7,11,252,4,4,2,2,4422,Rebounding Customers
10906,265,52,14,425,2,2,3,3,2233,High-Potential Newcomers
10909,166,9,20,1899,1,4,4,4,1444,High-Potential Newcomers
10913,572,56,3,27,4,2,1,1,4211,Dormant Accounts
10914,261,3,4,17,2,4,1,1,2411,Explorers
1092,688,17,16,1147,4,4,3,4,4434,Champions
10925,167,93,24,1003,1,1,4,3,1143,High-Potential Newcomers
10928,287,28,15,599,2,3,3,3,2333,High-Potential Newcomers
10936,502,79,15,1947,3,1,3,4,3134,At-Risk High Spenders
10949,196,8,18,1958,2,4,3,4,2434,High-Potential Newcomers
10951,156,20,12,306,1,4,2,2,1422,Explorers
10955,174,68,13,1600,1,2,3,4,1234,High-Potential Newcomers
10965,493,72,21,1722,3,2,4,4,3244,At-Risk High Spenders
10967,509,38,6,99,3,3,1,2,3312,Rebounding Customers
10968,584,0,22,704,4,4,4,3,4443,Champions
10971,665,28,12,473,4,3,2,3,4323,Rebounding Customers
10972,112,52,13,939,1,2,3,3,1233,High-Potential Newcomers
10981,148,27,17,1198,1,3,3,4,1334,High-Potential Newcomers
10983,517,17,22,930,3,4,4,3,3443,Champions
10991,570,18,13,850,4,4,3,3,4433,Champions
10992,670,77,21,1148,4,1,4,4,4144,At-Risk High Spenders
10995,595,8,7,92,4,4,2,2,4422,Rebounding Customers
1100,98,33,7,61,1,3,2,1,1321,Explorers
11003,271,10,5,50,2,4,1,1,2411,Explorers
11004,44,23,3,22,1,4,1,1,1411,Explorers
11007,417,43,4,34,3,3,1,1,3311,Rebounding Customers
11010,304,75,6,44,2,1,1,1,2111,Explorers
11013,456,84,16,938,3,1,3,3,3133,At-Risk High Spenders
11025,512,9,7,138,3,4,2,2,3422,Rebounding Customers
1103,639,60,18,2053,4,2,3,4,4234,At-Risk High Spenders
11030,178,90,3,16,1,1,1,1,1111,Explorers
11031,405,90,4,40,3,1,1,1,3111,Dormant Accounts
11039,286,51,11,311,2,2,2,2,2222,Explorers
11051,51,72,19,661,1,2,4,3,1243,High-Potential Newcomers
11056,611,18,17,1188,4,4,3,4,4434,Champions
11071,435,37,15,1923,3,3,3,4,3334,Champions
11074,82,94,17,1423,1,1,3,4,1134,High-Potential Newcomers
11075,244,37,11,270,2,3,2,2,2322,Explorers
11084,228,4,15,1053,2,4,3,4,2434,High-Potential Newcomers
11086,163,18,4,21,1,4,1,1,1411,Explorers
11088,435,83,17,1816,3,1,3,4,3134,At-Risk High Spenders
1109,433,38,3,12,3,3,1,1,3311,Rebounding Customers
11091,45,68,4,22,1,2,1,1,1211,Explorers
11092,120,78,5,41,1,1,1,1,1111,Explorers
11096,326,50,10,232,2,2,2,2,2222,Explorers
11100,445,37,5,63,3,3,1,1,3311,Rebounding Customers
11101,441,17,25,836,3,4,4,3,3443,Champions
11110,443,56,0,5,3,2,1,1,3211,Dormant Accounts
11112,574,23,19,1477,4,4,4,4,4444,Champions
11114,507,94,6,84,3,1,1,2,3112,Dormant Accounts
11121,597,76,7,70,4,1,2,2,4122,Dormant Accounts
11133,620,3,14,424,4,4,3,3,4433,Champions
11148,407,85,3,13,3,1,1,1,3111,Dormant Accounts
11166,513,81,12,315,3,1,2,2,3122,Dormant Accounts
11171,262,60,14,411,2,2,3,3,2233,High-Potential Newcomers
11176,49,12,16,495,1,4,3,3,1433,High-Potential Newcomers
11178,99,69,4,32,1,2,1,1,1211,Explorers
1118,495,87,19,685,3,1,4,3,3143,At-Risk High Spenders
11181,305,85,0,8,2,1,1,1,2111,Explorers
11187,406,23,6,69,3,4,1,2,3412,Rebounding Customers
11188,125,84,6,89,1,1,1,2,1112,Explorers
11191,205,11,7,139,2,4,2,2,2422,Explorers
1127,32,62,19,1958,1,2,4,4,1244,High-Potential Newcomers
113,349,33,4,28,2,3,1,1,2311,Explorers
1131,86,54,6,95,1,2,1,2,1212,Explorers
1135,135,96,7,47,1,1,2,1,1121,Explorers
1137,183,87,16,1379,2,1,3,4,2134,High-Potential Newcomers
1139,144,56,21,1512,1,2,4,4,1244,High-Potential Newcomers
1142,190,91,14,428,2,1,3,3,2133,High-Potential Newcomers
1143,326,43,5,55,2,3,1,1,2311,Explorers
1146,661,5,22,874,4,4,4,3,4443,Champions
115,461,0,14,393,3,4,3,2,3432,Frequent Shoppers
1150,277,36,14,1853,2,3,3,4,2334,High-Potential Newcomers
1158,176,27,7,144,1,3,2,2,1322,Explorers
1160,311,48,6,49,2,3,1,1,2311,Explorers
1162,536,23,18,653,4,4,3,3,4433,Champions
1165,424,62,15,496,3,2,3,3,3233,At-Risk High Spenders
1168,609,62,20,1401,4,2,4,4,4244,At-Risk High Spenders
1170,462,45,10,244,3,3,2,2,3322,Rebounding Customers
1172,425,71,24,2034,3,2,4,4,3244,At-Risk High Spenders
1173,477,73,12,2252,3,2,2,4,3224,Fading Loyalist
1175,283,24,11,426,2,4,2,3,2423,High-Potential Newcomers
1176,281,50,3,25,2,2,1,1,2211,Explorers
1177,520,77,7,129,3,1,2,2,3122,Dormant Accounts
1183,282,11,3,22,2,4,1,1,2411,Explorers
1184,404,46,22,845,3,3,4,3,3343,Champions
1204,404,45,27,1829,3,3,4,4,3344,Champions
1212,321,7,22,936,2,4,4,3,2443,High-Potential Newcomers
1215,265,49,22,1572,2,3,4,4,2344,High-Potential Newcomers
1225,4,47,18,1495,1,3,3,4,1334,High-Potential Newcomers
123,540,92,13,993,4,1,3,3,4133,At-Risk High Spenders
1232,248,54,16,1244,2,2,3,4,2234,High-Potential Newcomers
1241,651,1,4,51,4,4,1,1,4411,Rebounding Customers
1245,596,45,19,1371,4,3,4,4,4344,Champions
125,411,65,11,271,3,2,2,2,3222,Dormant Accounts
1250,143,82,6,84,1,1,1,2,1112,Explorers
1272,617,49,22,903,4,3,4,3,4343,Champions
1277,82,29,27,1004,1,3,4,3,1343,High-Potential Newcomers
1291,695,90,12,351,4,1,2,2,4122,Dormant Accounts
1295,323,96,18,725,2,1,3,3,2133,High-Potential Newcomers
13,343,57,4,32,2,2,1,1,2211,Explorers
1307,141,15,7,63,1,4,2,1,1421,Explorers
1321,238,49,6,56,2,3,1,1,2311,Explorers
1324,396,93,6,91,3,1,1,2,3112,Dormant Accounts
1328,134,56,17,683,1,2,3,3,1233,High-Potential Newcomers
1331,544,54,5,72,4,2,1,2,4212,Dormant Accounts
1340,67,42,26,1795,1,3,4,4,1344,High-Potential Newcomers
1343,642,55,16,586,4,2,3,3,4233,At-Risk High Spenders
1349,70,4,7,148,1,4,2,2,1422,Explorers
1351,648,25,28,1220,4,3,4,4,4344,Champions
1357,448,90,12,1562,3,1,2,4,3124,Fading Loyalist
1361,391,26,15,1435,3,3,3,4,3334,Champions
1362,483,75,13,449,3,1,3,3,3133,At-Risk High Spenders
1371,2,72,15,984,1,2,3,3,1233,High-Potential Newcomers
1377,303,24,10,285,2,4,2,2,2422,Explorers
1378,341,24,17,694,2,4,3,3,2433,High-Potential Newcomers
1379,429,12,10,241,3,4,2,2,3422,Rebounding Customers
1381,153,20,12,324,1,4,2,2,1422,Explorers
1384,219,10,5,62,2,4,1,1,2411,Explorers
1386,50,0,3,11,1,4,1,1,1411,Explorers
1388,495,11,6,112,3,4,1,2,3412,Rebounding Customers
1399,160,52,19,1515,1,2,4,4,1244,High-Potential Newcomers
1402,657,1,18,1253,4,4,3,4,4434,Champions
1403,662,40,4,38,4,3,1,1,4311,Rebounding Customers
1404,411,89,9,231,3,1,2,2,3122,Dormant Accounts
1406,503,49,14,415,3,3,3,3,3333,Champions
1407,609,5,5,57,4,4,1,1,4411,Rebounding Customers
1409,469,69,13,444,3,2,3,3,3233,At-Risk High Spenders
1411,232,58,15,940,2,2,3,3,2233,High-Potential Newcomers
1419,329,11,6,76,2,4,1,2,2412,Explorers
143,309,73,12,957,2,2,2,3,2223,High-Potential Newcomers
1440,664,84,23,1149,4,1,4,4,4144,At-Risk High Spenders
1446,86,12,27,1226,1,4,4,4,1444,High-Potential Newcomers
1448,5,33,6,51,1,3,1,1,1311,Explorers
1453,359,59,25,1060,3,2,4,4,3244,At-Risk High Spenders
1456,455,25,24,1180,3,3,4,4,3344,Champions
1458,174,40,6,44,1,3,1,1,1311,Explorers
1459,600,16,13,928,4,4,3,3,4433,Champions
146,227,78,20,1323,2,1,4,4,2144,High-Potential Newcomers
1461,337,74,5,38,2,2,1,1,2211,Explorers
1463,93,9,3,21,1,4,1,1,1411,Explorers
1473,342,0,5,72,2,4,1,2,2412,Explorers
1490,579,84,21,854,4,1,4,3,4143,At-Risk High Spenders
1491,497,87,14,559,3,1,3,3,3133,At-Risk High Spenders
1497,527,8,14,407,3,4,3,3,3433,Champions
1501,695,21,29,1717,4,4,4,4,4444,Champions
1502,466,67,5,52,3,2,1,1,3211,Dormant Accounts
1503,392,31,1,107,3,3,1,2,3312,Rebounding Customers
1506,367,26,7,140,3,3,2,2,3322,Rebounding Customers
1509,542,80,22,523,4,1,4,3,4143,At-Risk High Spenders
1513,671,72,16,1250,4,2,3,4,4234,At-Risk High Spenders
1515,159,9,4,28,1,4,1,1,1411,Explorers
1517,381,92,4,51,3,1,1,1,3111,Dormant Accounts
1518,378,29,19,749,3,3,4,3,3343,Champions
1519,373,2,6,73,3,4,1,2,3412,Rebounding Customers
1523,54,25,6,96,1,3,1,2,1312,Explorers
1524,486,1,15,1104,3,4,3,4,3434,Champions
153,256,29,4,46,2,3,1,1,2311,Explorers
1542,182,26,14,396,2,3,3,2,2332,Explorers
1544,555,51,16,1893,4,2,3,4,4234,At-Risk High Spenders
1545,332,95,14,443,2,1,3,3,2133,High-Potential Newcomers
1553,276,71,22,2283,2,2,4,4,2244,High-Potential Newcomers
1570,496,8,24,1039,3,4,4,3,3443,Champions
1577,131,14,14,1736,1,4,3,4,1434,High-Potential Newcomers
158,225,3,16,1196,2,4,3,4,2434,High-Potential Newcomers
1581,263,18,3,17,2,4,1,1,2411,Explorers
1584,90,79,14,482,1,1,3,3,1133,High-Potential Newcomers
1592,157,25,15,1724,1,3,3,4,1334,High-Potential Newcomers
1600,262,60,14,411,2,2,3,3,2233,High-Potential Newcomers
1604,229,93,10,225,2,1,2,2,2122,Explorers
1606,411,65,3,22,3,2,1,1,3211,Dormant Accounts
1612,395,82,6,47,3,1,1,1,3111,Dormant Accounts
1618,544,9,19,692,4,4,4,3,4443,Champions
1619,63,2,16,1588,1,4,3,4,1434,High-Potential Newcomers
1626,42,37,4,49,1,3,1,1,1311,Explorers
1627,520,84,21,789,3,1,4,3,3143,At-Risk High Spenders
1628,249,54,16,960,2,2,3,3,2233,High-Potential Newcomers
1630,327,56,14,424,2,2,3,3,2233,High-Potential Newcomers
1631,665,3,19,1282,4,4,4,4,4444,Champions
164,625,59,11,269,4,2,2,2,4222,Dormant Accounts
1640,8,49,6,108,1,3,1,2,1312,Explorers
1646,106,36,5,46,1,3,1,1,1311,Explorers
1650,434,13,26,1643,3,4,4,4,3444,Champions
1655,254,81,4,48,2,1,1,1,2111,Explorers
1663,248,97,4,49,2,1,1,1,2111,Explorers
1665,280,71,13,1750,2,2,3,4,2234,High-Potential Newcomers
1672,121,74,14,461,1,2,3,3,1233,High-Potential Newcomers
1676,243,30,11,266,2,3,2,2,2322,Explorers
1685,470,21,22,1482,3,4,4,4,3444,Champions
17,297,81,24,1028,2,1,4,3,2143,High-Potential Newcomers
1710,480,51,11,279,3,2,2,2,3222,Dormant Accounts
1715,504,45,5,48,3,3,1,1,3311,Rebounding Customers
1717,78,43,10,273,1,3,2,2,1322,Explorers
1726,469,23,4,81,3,4,1,2,3412,Rebounding Customers
1729,271,14,18,1377,2,4,3,4,2434,High-Potential Newcomers
1734,529,37,7,81,3,3,2,2,3322,Rebounding Customers
1740,84,22,14,999,1,4,3,3,1433,High-Potential Newcomers
1743,35,99,10,801,1,1,2,3,1123,High-Potential Newcomers
1744,539,67,4,54,4,2,1,1,4211,Dormant Accounts
1745,423,88,19,1313,3,1,4,4,3144,At-Risk High Spenders
175,536,93,20,1443,4,1,4,4,4144,At-Risk High Spenders
1755,80,93,6,114,1,1,1,2,1112,Explorers
176,179,73,11,331,1,2,2,2,1222,Explorers
1763,338,62,28,2524,2,2,4,4,2244,High-Potential Newcomers
1764,325,92,11,270,2,1,2,2,2122,Explorers
1772,535,2,18,2043,4,4,3,4,4434,Champions
1773,573,38,5,57,4,3,1,1,4311,Rebounding Customers
1777,661,29,5,74,4,3,1,2,4312,Rebounding Customers
178,497,40,22,973,3,3,4,3,3343,Champions
1802,529,23,18,680,3,4,3,3,3433,Champions
1818,97,23,4,38,1,4,1,1,1411,Explorers
182,415,62,13,397,3,2,3,3,3233,At-Risk High Spenders
1826,14,0,14,1190,1,4,3,4,1434,High-Potential Newcomers
1829,527,55,18,1232,3,2,3,4,3234,At-Risk High Spenders
1833,65,91,7,133,1,1,2,2,1122,Explorers
1834,114,77,5,67,1,1,1,1,1111,Explorers
1839,70,25,7,141,1,3,2,2,1322,Explorers
1857,116,2,5,83,1,4,1,2,1412,Explorers
1859,672,34,18,1890,4,3,3,4,4334,Champions
1867,594,42,18,1336,4,3,3,4,4334,Champions
1876,499,15,5,85,3,4,1,2,3412,Rebounding Customers
1878,132,83,5,37,1,1,1,1,1111,Explorers
1880,151,17,6,93,1,4,1,2,1412,Explorers
1890,649,95,3,25,4,1,1,1,4111,Dormant Accounts
1891,691,12,15,1754,4,4,3,4,4434,Champions
